French,English
partie,part
histoire,history
chercher,search
seulement,only
police,police
pensais,thought
aide,help
demande,request
genre,kind
frère,brother
laisser,let
mettre,to put
aucun,no
laisse,leash
eux,them
chaque,each
parlé,speak
arrivé,come
devrait,should
bébé,baby
longtemps,long time
heures,hours
vont,will
revoir,meet again
parle,speak
compris,understood
savais,knew
étaient,were
attention,Warning
pourrais,could
affaire,case
donner,give
type,type
donné,given
train,train
corps,body
yeux,eyes
façon,way
écoute,listen
dont,whose
main,hand
pouvoir,power
sois,be
tiens,here
matin,morning
tellement,so much
enfant,child
venu,came
suite,after
devant,in front of
demandé,request
chambre,bedroom
mis,placed
belle,beautiful
aimerais,would like to
aujourd'hui,today
cause,cause
enfin,finally
espère,hope
eau,water
boulot,job
dirait,would say
terre,Earth
compte,account
donne,given
fin,end
croire,believe
chérie,sweetheart
gros,large
aura,will have
bureau,office
